Etablissement	Nom de famille	Prenom	Date	Heure	ID National	Lib. Structure	Voeu 1	Voeu 2	Voeu 3	Voeu 4	Voeu 5
Institution Saint Paul	N17	P17	27/03/2026	13:30	203060748CC	1èreB	Conf7	Conf15	Conf10	Conf4	Conf16
Institution Saint Paul	N18	P18	27/03/2026	13:30	110209979GD	1èreB	Conf6	Conf14	Conf13	FM5	Conf4
Institution Saint Paul	N19	P19	27/03/2026	13:30	110481490FF	1èreA	Conf2	Conf1	Conf10	Conf13	Conf17
Institution Saint Paul	N20	P20	27/03/2026	13:30	120865211JH	1èreD	Conf3	Conf11	Conf8	TR1	FM4
Institution Saint Paul	N21	P21	27/03/2026	13:30	120807593JH	1èreB	Conf4	Conf15	Conf6	Conf3	TR5
Institution Saint Paul	N22	P22	27/03/2026	13:30	110893423JB	1èreE	Conf12	Conf5	Conf19	Conf9	Conf10
Institution Saint Paul	N23	P23	27/03/2026	13:30	120069820HJ	1èreD	Conf9	Conf2	Conf4	Conf17	TR5
Institution Saint Paul	N24	P24	27/03/2026	13:30	120565259BJ	1èreD	Conf16	Conf10	Conf17	TR3	FM6
Institution Saint Paul	N25	P25	27/03/2026	13:30	120592837JF	1èreD	Conf3	Conf18	Conf1	Conf12	Conf13
Institution Saint Paul	N26	P26	27/03/2026	13:30	120688897FF	1èreD	Conf17	Conf2	Conf7	FM2	Conf12
Institution Saint Paul	N27	P27	27/03/2026	13:30	233066151BH	1èreB	Conf9	Conf17	Conf4	FM2	TR4
Institution Saint Paul	N28	P28	27/03/2026	13:30	120668875KF	1èreD	Conf3	Conf16	Conf10	Conf5	TR4
Institution Saint Paul	N29	P29	27/03/2026	13:30	110210039AD	1èreA	Conf17	Conf12	Conf6	Conf3	FM5
Institution Saint Paul	N30	P30	27/03/2026	13:30	110723568JK	1èreD	Conf2	Conf5	Conf3	TR6	FM1
Institution Saint Paul	N31	P31	27/03/2026	13:30	120722014BF	1èreC	Conf8	Conf1	Conf16	Conf18	Conf3
Institution Saint Paul	N32	P32	27/03/2026	13:30	120565393HJ	1èreB	Conf10	Conf7	Conf16	FM5	TR4
Institution Saint Paul	N33	P33	27/03/2026	13:30	253069633GK	1èreE	Conf15	Conf8	Conf5	FM6	TR3
Institution Saint Paul	N34	P34	27/03/2026	13:30	203025393GK	1èreB	Conf3	Conf17	Conf18	Conf6	TR2
Institution Saint Paul	N35	P35	27/03/2026	13:30	203066815GG	1èreC	Conf5	Conf7	Conf14	TR1	TR2
Institution Saint Paul	N36	P36	27/03/2026	13:30	120864872DJ	1èreE	Conf4	Conf12	Conf13	Conf8	Conf1
Institution Saint Paul	N37	P37	27/03/2026	13:30	203046338HG	1èreB	Conf11	Conf6	Conf13	TR6	Conf8
Institution Saint Paul	N38	P38	27/03/2026	13:30	130359988FJ	1èreA	Conf4	Conf7	Conf11	Conf13	TR3
Institution Saint Paul	N39	P39	27/03/2026	13:30	120449206FK	1èreB	Conf18	Conf14	Conf9	Conf1	Conf19
Institution Saint Paul	N40	P40	27/03/2026	13:30	120745780BE	1èreB	Conf6	Conf10	Conf9	Conf14	Conf13
Institution Saint Paul	N41	P41	27/03/2026	13:30	120719935FH	1èreB	Conf13	Conf7	Conf14	Conf3	FM4
Institution Saint Paul	N42	P42	27/03/2026	13:30	120501730BC	1èreD	Conf18	Conf16	Conf10	Conf6	Conf4
Institution Saint Paul	N43	P43	27/03/2026	13:30	120410350BJ	1èreE	Conf4	Conf6	Conf9	FM1	Conf14
Institution Saint Paul	N44	P44	27/03/2026	13:30	203045494EH	1èreA	Conf4	Conf5	Conf3	FM1	FM6
Institution Saint Paul	N45	P45	27/03/2026	13:30	203046337HH	1èreB	Conf6	Conf17	Conf8	TR6	Conf15
Institution Saint Paul	N46	P46	27/03/2026	13:30	120720044EF	1èreB	Conf19	Conf8	Conf2	FM2	FM6
Institution Saint Paul	N47	P47	27/03/2026	13:30	130165159BE	1èreD	Conf12	Conf5	Conf11	Conf9	TR6
Institution Saint Paul	N48	P48	27/03/2026	13:30	130165733CC	1èreD	Conf3	Conf6	Conf18	FM6	Conf2
Institution Saint Paul	N49	P49	27/03/2026	13:30	120745413KA	1èreD	Conf2	Conf5	Conf14	TR1	Conf17
Institution Saint Paul	N50	P50	27/03/2026	13:30	120744423BD	1èreA	Conf14	Conf9	Conf10	FM1	Conf1
Institution Saint Paul	N51	P51	27/03/2026	13:30	120720042EH	1èreD	Conf19	Conf10	Conf9	FM1	Conf2
Institution Saint Paul	N52	P52	27/03/2026	13:30	110879047AE	1èreE	Conf12	Conf13	Conf7	FM5	Conf18
Institution Saint Paul	N53	P53	27/03/2026	13:30	120229216FD	1èreB	Conf1	Conf16	Conf18	Conf12	TR3
Institution Saint Paul	N54	P54	27/03/2026	13:30	120721218DF	1èreD	Conf5	Conf7	Conf12	TR4	Conf10
Institution Saint Paul	N55	P55	27/03/2026	13:30	120745427HG	1èreB	Conf3	Conf12	Conf9	Conf13	Conf10
Institution Saint Paul	N56	P56	27/03/2026	13:30	120650776FF	1èreC	Conf18	Conf17	Conf6	Conf9	TR6
Institution Saint Paul	N57	P57	27/03/2026	13:30	120668873KH	1èreD	Conf1	Conf14	Conf9	Conf3	Conf16
Institution Saint Paul	N58	P58	27/03/2026	13:30	120668966AE	1èreB	Conf12	Conf19	Conf15	Conf11	Conf4
Institution Saint Paul	N59	P59	27/03/2026	13:30	120886290FH	1èreB	Conf4	Conf5	Conf16	TR1	Conf2
Institution Saint Paul	N60	P60	27/03/2026	13:30	193012818BD	1èreA	Conf4	Conf18	Conf13	Conf3	Conf1
Institution Saint Paul	N61	P61	27/03/2026	13:30	120712143JK	1èreA	Conf2	Conf13	Conf1	TR3	Conf5
Institution Saint Paul	N62	P62	27/03/2026	13:30	120744917AE	1èreD	Conf2	Conf15	Conf14	Conf10	TR5
Institution Saint Paul	N63	P63	27/03/2026	13:30	213002107KG	1èreD	Conf13	Conf10	Conf17	Conf7	Conf11
Institution Saint Paul	N64	P64	27/03/2026	13:30	120577548EJ	1èreE	Conf9	Conf8	Conf15	TR3	TR4
Institution Saint Paul	N65	P65	27/03/2026	13:30	120337371FD	1èreD	Conf4	Conf8	Conf15	Conf13	TR2
Institution Saint Paul	N66	P66	27/03/2026	13:30	120140828HE	1èreE	Conf8	Conf10	Conf19	Conf7	Conf5
Institution Saint Paul	N67	P67	27/03/2026	13:30	120866097HE	1èreA	Conf6	Conf8	Conf1	Conf19	TR5
Institution Saint Paul	N68	P68	27/03/2026	13:30	120140618KA	1èreE	Conf3	Conf7	Conf4	Conf2	FM4
Institution Saint Paul	N69	P69	27/03/2026	13:30	120668890JA	1èreB	Conf19	Conf17	Conf1	Conf10	FM2
Institution Saint Paul	N70	P70	27/03/2026	13:30	120744426BA	1èreB	Conf9	Conf10	Conf17	FM6	Conf18
Institution Saint Paul	N71	P71	27/03/2026	13:30	120808918CD	1èreC	Conf6	Conf13	Conf12	Conf4	Conf8
Institution Saint Paul	N72	P72	27/03/2026	13:30	120885251CK	1èreC	Conf13	Conf4	Conf3	Conf19	TR5
Institution Saint Paul	N73	P73	27/03/2026	13:30	120668182BC	1èreD	Conf1	Conf11	Conf15	Conf8	TR6
Institution Saint Paul	N74	P74	27/03/2026	13:30	120885798GE	1èreC	Conf8	Conf9	Conf17	TR5	Conf14
Institution Saint Paul	N75	P75	27/03/2026	13:30	170517648BA	1èreB	Conf13	Conf7	Conf4	FM6	Conf2
Institution Saint Paul	N76	P76	27/03/2026	13:30	110770218KG	1èreE	Conf3	Conf11	Conf4	FM5	Conf6
Institution Saint Paul	N77	P77	27/03/2026	13:30	120744435AB	1èreA	Conf5	Conf6	Conf11	FM2	Conf14
Institution Saint Paul	N78	P78	27/03/2026	13:30	190095883GB	1èreE	Conf19	Conf14	Conf6	Conf5	TR3
Institution Saint Paul	N79	P79	27/03/2026	13:30	120565390JB	1èreD	Conf18	Conf16	Conf14	FM2	Conf5
Institution Saint Paul	N80	P80	27/03/2026	13:30	130361394BA	1èreE	Conf1	Conf8	Conf6	TR5	Conf19
Institution Saint Paul	N81	P81	27/03/2026	13:30	120502282EC	1èreD	Conf9	Conf2	Conf11	Conf3	Conf8
Institution Saint Paul	N82	P82	27/03/2026	13:30	120744961FH	1èreE	Conf14	Conf12	Conf1	TR2	FM3
Institution Saint Paul	N83	P83	27/03/2026	13:30	120565397HE	1èreC	Conf11	Conf12	Conf7	Conf14	Conf9
Institution Saint Paul	N84	P84	27/03/2026	13:30	120411499DD	1èreC	Conf19	Conf10	Conf6	TR3	Conf5
Institution Saint Paul	N85	P85	27/03/2026	13:30	120807957BE	1èreD	Conf15	Conf8	Conf2	FM2	TR5
Institution Saint Paul	N86	P86	27/03/2026	13:30	120885763AC	1èreA	Conf6	Conf8	Conf9	Conf1	Conf15
Institution Saint Paul	N87	P87	27/03/2026	13:30	253030822JA	1èreE	Conf10	Conf17	Conf11	Conf18	FM1
Institution Saint Paul	N88	P88	27/03/2026	13:30	120865215JD	1èreA	Conf13	Conf6	Conf12	Conf9	TR2
Institution Saint Paul	N89	P89	27/03/2026	13:30	120886295FC	1èreE	Conf5	Conf19	Conf12	Conf14	FM4
Institution Saint Paul	N90	P90	27/03/2026	13:30	120885783HK	1èreE	Conf15	Conf13	Conf1	Conf6	FM5
Institution Saint Paul	N91	P91	27/03/2026	13:30	120688903EK	1èreC	Conf18	Conf1	Conf8	FM6	Conf2
Institution Saint Paul	N92	P92	27/03/2026	13:30	120865431GB	1èreE	Conf15	Conf6	Conf14	Conf2	TR1
Institution Saint Paul	N93	P93	27/03/2026	13:30	110407316CE	1èreE	Conf4	Conf13	Conf9	TR5	FM4
Institution Saint Paul	N94	P94	27/03/2026	13:30	120228838ED	1èreE	Conf12	Conf4	Conf13	FM1	Conf16
Institution Saint Paul	N95	P95	27/03/2026	13:30	120885431ED	1èreC	Conf6	Conf14	Conf4	FM3	TR3
Institution Saint Paul	N96	P96	27/03/2026	13:30	190734296AF	1èreC	Conf11	Conf13	Conf10	FM6	Conf6
Institution Saint Paul	N97	P97	27/03/2026	13:30	120668887JD	1èreE	Conf13	Conf19	Conf11	Conf17	TR6
Institution Saint Paul	N98	P98	27/03/2026	13:30	120502288DG	1èreD	Conf14	Conf5	Conf3	Conf8	Conf1
Institution Saint Paul	N99	P99	27/03/2026	13:30	120238371BG	1èreC	Conf9	Conf12	Conf14	FM4	Conf6
Institution Saint Paul	N100	P100	27/03/2026	13:30	120565395HG	1èreA	Conf8	Conf16	Conf15	FM2	Conf5
Institution Saint Paul	N101	P101	27/03/2026	13:30	120886094FK	1èreC	Conf12	Conf10	Conf15	FM2	FM3
Institution Saint Paul	N102	P102	27/03/2026	13:30	120561284BG	1èreD	Conf3	Conf17	Conf11	Conf2	Conf7
Institution Saint Paul	N103	P103	27/03/2026	13:30	120565295HK	1èreE	Conf11	Conf12	Conf10	Conf9	Conf3
Institution Saint Paul	N104	P104	27/03/2026	13:30	110723408FF	1èreE	Conf19	Conf4	Conf2	TR4	TR2
Institution Saint Paul	N105	P105	27/03/2026	13:30	120744446JH	1èreA	Conf8	Conf9	Conf7	Conf13	Conf5
Institution Saint Paul	N106	P106	27/03/2026	13:30	120807813GB	1èreE	Conf15	Conf17	Conf18	TR6	TR4
Institution Saint Paul	N107	P107	27/03/2026	13:30	193012517CD	1èreA	Conf14	Conf2	Conf9	Conf4	Conf15
Institution Saint Paul	N108	P108	27/03/2026	13:30	110628793KF	1èreC	Conf10	Conf8	Conf12	Conf11	Conf3
Institution Saint Paul	N109	P109	27/03/2026	13:30	110785113EC	1èreC	Conf7	Conf3	Conf10	FM2	TR2
Institution Saint Paul	N110	P110	27/03/2026	13:30	243008610FJ	1èreA	Conf15	Conf5	Conf8	Conf10	FM4
Institution Saint Paul	N111	P111	27/03/2026	13:30	130763990GB	1èreB	Conf14	Conf8	Conf12	Conf9	FM6
Institution Saint Paul	N112	P112	27/03/2026	13:30	120722954EF	1èreA	Conf1	Conf6	Conf8	FM2	TR6
Institution Saint Paul	N113	P113	27/03/2026	13:30	120489292DE	1èreE	Conf16	Conf8	Conf19	FM5	Conf10
Institution Saint Paul	N114	P114	27/03/2026	13:30	120885253CH	1èreB	Conf8	Conf15	Conf13	FM5	TR6
Institution Saint Paul	N115	P115	27/03/2026	13:30	120377539ED	1èreC	Conf16	Conf18	Conf6	Conf8	FM6
Institution Saint Paul	N116	P116	27/03/2026	13:30	120337963ED	1èreA	Conf16	Conf14	Conf3	Conf15	Conf18
Institution Saint Paul	N117	P117	27/03/2026	13:30	120720035FE	1èreD	Conf10	Conf16	Conf19	TR5	TR6
Institution Saint Paul	N118	P118	27/03/2026	13:30	120212523GC	1èreD	Conf8	Conf14	Conf15	Conf12	FM3
Institution Saint Paul	N119	P119	27/03/2026	13:30	120744915AG	1èreB	Conf11	Conf2	Conf18	TR4	Conf8
Institution Saint Paul	N120	P120	27/03/2026	13:30	190766679CA	1èreB	Conf10	Conf4	Conf9	TR5	TR2
Institution Saint Paul	N121	P121	27/03/2026	13:30	120410172AC	1èreA	Conf17	Conf11	Conf16	Conf8	Conf4
Institution Saint Paul	N122	P122	27/03/2026	13:30	120109500HB	1èreA	Conf16	Conf19	Conf17	TR1	Conf12
Institution Saint Paul	N123	P123	27/03/2026	13:30	203025415EH	1èreC	Conf12	Conf18	Conf9	Conf2	Conf11
Institution Saint Paul	N124	P124	27/03/2026	13:30	120564283CE	1èreE	Conf5	Conf9	Conf16	Conf6	Conf13
Institution Saint Paul	N125	P125	27/03/2026	13:30	120363397CD	1èreA	Conf15	Conf11	Conf5	Conf8	TR3
Institution Saint Paul	N126	P126	27/03/2026	13:30	203059318KE	1èreC	Conf12	Conf19	Conf13	Conf15	Conf17
Institution Saint Paul	N127	P127	27/03/2026	13:30	203025378JE	1èreC	Conf15	Conf11	Conf16	Conf5	TR1
Institution Saint Paul	N128	P128	27/03/2026	13:30	120866258BA	1èreB	Conf3	Conf16	Conf9	Conf14	TR6
Institution Saint Paul	N129	P129	27/03/2026	13:30	110785161KB	1èreE	Conf11	Conf12	Conf1	Conf7	FM4
Institution Saint Paul	N130	P130	27/03/2026	13:30	120744916AF	1èreB	Conf1	Conf9	Conf4	TR4	TR6
Institution Saint Paul	N131	P131	27/03/2026	13:30	120744884DH	1èreD	Conf3	Conf4	Conf1	Conf9	FM2
Institution Saint Paul	N132	P132	27/03/2026	13:30	111036607GK	1èreD	Conf11	Conf13	Conf9	Conf4	Conf1
Institution Saint Paul	N133	P133	27/03/2026	13:30	120885493HJ	1èreA	Conf3	Conf9	Conf15	Conf16	FM2
Institution Saint Paul	N134	P134	27/03/2026	13:30	130848463HF	1èreE	Conf4	Conf11	Conf18	FM6	TR6
Institution Saint Paul	N135	P135	27/03/2026	13:30	120885248DC	1èreA	Conf19	Conf2	Conf18	TR4	TR5
Institution Saint Paul	N136	P136	27/03/2026	13:30	130895211JB	1èreA	Conf12	Conf11	Conf1	Conf18	Conf9
Institution Saint Paul	N137	P137	27/03/2026	13:30	120807589KB	1èreC	Conf15	Conf2	Conf19	Conf17	Conf18
Institution Saint Paul	N138	P138	27/03/2026	13:30	120411314CE	1èreA	Conf17	Conf15	Conf9	TR5	FM5
Institution Saint Paul	N139	P139	27/03/2026	13:30	120845809JK	1èreD	Conf3	Conf1	Conf16	FM3	FM2
Institution Saint Paul	N140	P140	27/03/2026	13:30	203019155AC	1èreC	Conf7	Conf9	Conf12	TR1	Conf14
Institution Saint Paul	N141	P141	27/03/2026	13:30	120141010JG	1èreD	Conf11	Conf16	Conf6	Conf1	TR2
Institution Saint Paul	N142	P142	27/03/2026	13:30	110407084GC	1èreA	Conf4	Conf12	Conf6	Conf17	TR4
Institution Saint Paul	N143	P143	27/03/2026	13:30	120338859CA	1èreA	Conf19	Conf10	Conf13	Conf18	FM2
Institution Saint Paul	N144	P144	27/03/2026	13:30	110210743HF	1èreC	Conf8	Conf9	Conf13	Conf14	TR3
Institution Saint Paul	N145	P145	27/03/2026	13:30	120688907EF	1èreC	Conf4	Conf7	Conf1	Conf5	FM4
Institution Saint Paul	N146	P146	27/03/2026	13:30	120923472CG	1èreC	Conf4	Conf19	Conf16	Conf8	Conf1
Institution Saint Paul	N147	P147	27/03/2026	13:30	120746439DE	1èreB	Conf18	Conf2	Conf13	Conf10	Conf5
Institution Saint Paul	N148	P148	27/03/2026	13:30	233012459GJ	1èreE	Conf4	Conf11	Conf6	TR4	TR6
Institution Saint Paul	N149	P149	27/03/2026	13:30	120885230FA	1èreA	Conf18	Conf2	Conf5	TR2	FM6
Institution Saint Paul	N150	P150	27/03/2026	13:30	120402837GC	1èreD	Conf1	Conf17	Conf4	TR3	FM3
Institution Saint Paul	N151	P151	27/03/2026	13:30	120720892HA	1èreD	Conf9	Conf2	Conf17	FM4	FM3
Institution Saint Paul	N152	P152	27/03/2026	13:30	140209533JH	1èreA	Conf2	Conf6	Conf1	Conf5	Conf12
Institution Saint Paul	N153	P153	27/03/2026	13:30	170873963HD	1èreE	Conf12	Conf2	Conf18	Conf11	Conf15
Institution Saint Paul	N154	P154	27/03/2026	13:30	120722012BH	1èreC	Conf11	Conf2	Conf15	FM4	FM2
Institution Saint Paul	N155	P155	27/03/2026	13:30	120894254EH	1èreC	Conf15	Conf1	Conf18	Conf8	Conf6
Institution Saint Paul	N156	P156	27/03/2026	13:30	120564294BD	1èreA	Conf10	Conf14	Conf13	Conf11	FM2
Institution Saint Paul	N157	P157	27/03/2026	13:30	120885237ED	1èreE	Conf14	Conf11	Conf7	TR2	Conf12
Institution Saint Paul	N158	P158	27/03/2026	13:30	111045923GF	1èreE	Conf7	Conf11	Conf13	TR3	TR4
Institution Saint Paul	N159	P159	27/03/2026	13:30	213061252CE	1èreD	Conf11	Conf9	Conf16	Conf13	Conf8
Institution Saint Paul	N160	P160	27/03/2026	13:30	110810364BB	1èreE	Conf1	Conf2	Conf18	Conf13	Conf16
Institution Saint Paul	N161	P161	27/03/2026	13:30	120744428AJ	1èreB	Conf13	Conf3	Conf19	TR4	Conf18
Institution Saint Paul	N162	P162	27/03/2026	13:30	120501476HC	1èreB	Conf13	Conf6	Conf12	Conf10	Conf4
Institution Saint Paul	N163	P163	27/03/2026	13:30	180525107EB	1èreE	Conf15	Conf5	Conf13	Conf19	Conf14
Institution Saint Paul	N164	P164	27/03/2026	13:30	120810423HA	1èreD	Conf2	Conf7	Conf18	Conf10	Conf6
Institution Saint Paul	N165	P165	27/03/2026	13:30	120886353KB	1èreA	Conf15	Conf7	Conf4	TR3	Conf11
Institution Saint Paul	N166	P166	27/03/2026	13:30	203027125JD	1èreC	Conf4	Conf7	Conf10	FM1	Conf8
Institution Saint Paul	N167	P167	27/03/2026	13:30	120865331GE	1èreD	Conf10	Conf3	Conf14	TR3	FM2
Institution Saint Paul	N168	P168	27/03/2026	13:30	120719940FC	1èreA	Conf5	Conf10	Conf2	FM6	TR3
Institution Saint Paul	N169	P169	27/03/2026	13:30	203010265GF	1èreB	Conf3	Conf15	Conf5	Conf7	Conf18
Institution Saint Paul	N170	P170	27/03/2026	13:30	120449210FF	1èreC	Conf9	Conf13	Conf18	Conf1	Conf6
Institution Saint Paul	N171	P171	27/03/2026	13:30	110485404CB	1èreC	Conf3	Conf17	Conf4	FM2	Conf12
Institution Saint Paul	N172	P172	27/03/2026	13:30	120502058HC	1èreB	Conf10	Conf14	Conf7	FM2	TR2
Institution Saint Paul	N173	P173	27/03/2026	13:30	120886313DE	1èreB	Conf13	Conf8	Conf18	Conf6	TR2
Institution Saint Paul	N174	P174	27/03/2026	13:30	120619577CA	1èreB	Conf7	Conf14	Conf12	TR4	Conf19
Institution Saint Paul	N175	P175	27/03/2026	13:30	120885254CG	1èreC	Conf2	Conf1	Conf8	Conf10	Conf11
Institution Saint Paul	N176	P176	27/03/2026	13:30	120865347EJ	1èreE	Conf11	Conf2	Conf19	TR4	Conf18
Institution Saint Paul	N177	P177	27/03/2026	13:30	110914116EK	1èreA	Conf2	Conf3	Conf18	TR6	FM3
Institution Saint Paul	N178	P178	27/03/2026	13:30	203019384GE	1èreA	Conf7	Conf4	Conf5	Conf17	Conf10
Institution Saint Paul	N179	P179	27/03/2026	13:30	120362126DD	1èreB	Conf11	Conf4	Conf18	TR3	Conf15
Institution Saint Paul	N180	P180	27/03/2026	13:30	130848786ED	1èreC	Conf14	Conf11	Conf6	TR5	Conf5
Institution Saint Paul	N181	P181	27/03/2026	13:30	203025114FH	1èreC	Conf19	Conf4	Conf5	FM6	TR2
Institution Saint Paul	N182	P182	27/03/2026	13:30	120688939BD	1èreE	Conf13	Conf8	Conf17	FM6	Conf5
Lycée Albert Camus	N183	P183	27/03/2026	09:15	110065485CH	1ST2S2	Conf3	Conf7	Conf19	Conf12	Conf14
Lycée Albert Camus	N184	P184	27/03/2026	09:15	110066709GE	1ERE STMG	Conf7	Conf13	Conf6	Conf3	Conf14
Lycée Albert Camus	N185	P185	27/03/2026	09:15	111036625FB	1ST2S2	Conf12	Conf7	Conf6	Conf1	FM6
Lycée Albert Camus	N186	P186	27/03/2026	09:15	120141765BA	1ERE GEN 2	Conf7	Conf11	Conf13	FM6	Conf19
Lycée Albert Camus	N187	P187	27/03/2026	09:15	110678572HH	1ERE STMG	Conf3	Conf1	Conf5	FM3	Conf9
Lycée Albert Camus	N188	P188	27/03/2026	09:15	223352805HE	1ERE STMG	Conf19	Conf17	Conf8	FM1	Conf10
Lycée Albert Camus	N189	P189	27/03/2026	09:15	150162909HF	1ERE GEN 3	Conf15	Conf14	Conf13	TR3	Conf7
Lycée Albert Camus	N190	P190	27/03/2026	09:15	120864845GF	1ST2S1	Conf9	Conf4	Conf2	Conf15	TR5
Lycée Albert Camus	N191	P191	27/03/2026	09:15	111036624FC	1ERE GEN 2	Conf4	Conf12	Conf16	Conf3	Conf8
Lycée Albert Camus	N192	P192	27/03/2026	09:15	110799880BK	1ST2S2	Conf3	Conf18	Conf10	Conf9	TR1
Lycée Albert Camus	N193	P193	27/03/2026	09:15	120809879DC	1ST2S1	Conf16	Conf14	Conf3	Conf4	FM3
Lycée Albert Camus	N194	P194	27/03/2026	09:15	120141257DD	1ERE GEN 2	Conf11	Conf8	Conf18	TR6	FM1
Lycée Albert Camus	N195	P195	27/03/2026	09:15	203002604GD	1ERE GEN 1	Conf1	Conf17	Conf12	Conf18	TR5
Lycée Albert Camus	N196	P196	27/03/2026	09:15	110600557AH	1ERE STMG	Conf18	Conf15	Conf10	Conf1	FM1
Lycée Albert Camus	N197	P197	27/03/2026	09:15	120668961AK	1ERE GEN 4	Conf15	Conf5	Conf2	Conf12	Conf9
Lycée Albert Camus	N198	P198	27/03/2026	09:15	110407315CF	1ERE STMG	Conf14	Conf12	Conf8	FM5	Conf13
Lycée Albert Camus	N199	P199	27/03/2026	09:15	120808786FJ	1ST2S1	Conf7	Conf15	Conf14	Conf13	Conf2
Lycée Albert Camus	N200	P200	27/03/2026	09:15	111036622FE	1ERE GEN 1	Conf13	Conf18	Conf8	TR2	Conf14
Lycée Albert Camus	N201	P201	27/03/2026	09:15	120865529GA	1ERE STMG	Conf12	Conf7	Conf17	FM1	Conf6
Lycée Albert Camus	N202	P202	27/03/2026	09:15	110770135JC	1ERE GEN 3	Conf12	Conf7	Conf3	TR1	FM6
Lycée Albert Camus	N203	P203	27/03/2026	09:15	213011393CF	1ST2S2	Conf4	Conf14	Conf7	Conf15	Conf10
Lycée Albert Camus	N204	P204	27/03/2026	09:15	110770134JD	1ERE STMG	Conf11	Conf4	Conf17	FM2	Conf15
Lycée Albert Camus	N205	P205	27/03/2026	09:15	110210187EK	1ST2S2	Conf5	Conf7	Conf2	Conf9	TR5
Lycée Albert Camus	N206	P206	27/03/2026	09:15	120228864BH	1ST2S1	Conf1	Conf14	Conf6	Conf9	FM5
Lycée Albert Camus	N207	P207	27/03/2026	09:15	110407317CD	1ERE GEN 4	Conf12	Conf1	Conf16	Conf13	Conf10
Lycée Albert Camus	N208	P208	27/03/2026	09:15	160770782CF	1ST2S1	Conf16	Conf7	Conf11	Conf5	Conf3
Lycée Albert Camus	N209	P209	27/03/2026	09:15	120565011HC	1ST2S1	Conf6	Conf5	Conf8	FM1	Conf13
Lycée Albert Camus	N210	P210	27/03/2026	09:15	110785117DJ	1ERE GEN 3	Conf19	Conf1	Conf10	TR3	Conf12
Lycée Albert Camus	N211	P211	27/03/2026	09:15	130165231DK	1ERE GEN 3	Conf19	Conf2	Conf16	TR1	Conf8
Lycée Albert Camus	N212	P212	27/03/2026	09:15	120721845JH	1ERE GEN 4	Conf15	Conf10	Conf16	Conf17	Conf5
Lycée Albert Camus	N213	P213	27/03/2026	09:15	120502084EG	1ERE GEN 4	Conf3	Conf4	Conf18	TR2	TR3
Lycée Albert Camus	N214	P214	27/03/2026	09:15	110799981BF	1ERE GEN 4	Conf12	Conf17	Conf7	FM6	Conf18
Lycée Albert Camus	N215	P215	27/03/2026	09:15	120618437KD	1ERE STMG	Conf18	Conf13	Conf17	Conf10	FM4
Lycée Albert Camus	N216	P216	27/03/2026	09:15	120873451KC	1ST2S2	Conf13	Conf5	Conf6	Conf10	Conf3
Lycée Albert Camus	N217	P217	27/03/2026	09:15	100158413AE	1ERE STMG	Conf8	Conf11	Conf13	Conf5	Conf3
Lycée Albert Camus	N218	P218	27/03/2026	09:15	100734039HD	1ST2S2	Conf12	Conf10	Conf2	Conf11	Conf18
Lycée Albert Camus	N219	P219	27/03/2026	09:15	120338286BB	1ERE GEN 3	Conf7	Conf18	Conf6	Conf15	Conf1
Lycée Albert Camus	N220	P220	27/03/2026	09:15	110784866KF	1ERE GEN 1	Conf8	Conf4	Conf3	FM3	Conf11
